"exptDate","cellLine","Well","Cell.Nucleus","conc","resp.ratio"
"2012-03-20","DS3","D03",16502,2e-06,0.587819365410132
"2012-03-20","DS3","D04",18923,2e-07,0.674058044579805
"2012-03-20","DS3","D05",31587,2e-08,1.12516363442067
"2012-03-20","DS3","D06",33318,2e-09,1.18682375571051
"2012-03-20","DS3","D07",32307,2e-10,1.1508108252518
"2012-03-20","DS3","D08",34984,2e-11,1.24616850560587
"2012-03-20","DS3","D09",32265,2e-12,1.14931473911998
"2012-03-20","DS3","D10",32104,2e-13,1.14357974228135
"2012-03-20","DS3","D11",32108,0,1.14372222667486
"2012-03-20","DS4","E03",12701,2e-06,0.701363962670495
"2012-03-20","DS4","E04",14987,2e-07,0.82759953614225
"2012-03-20","DS4","E05",28021,2e-08,1.5473521453421
"2012-03-20","DS4","E06",23567,2e-09,1.30139709536694
"2012-03-20","DS4","E07",23444,2e-10,1.29460489259484
"2012-03-20","DS4","E08",23950,2e-11,1.32254679993373
"2012-03-20","DS4","E09",25795,2e-12,1.42442984151527
"2012-03-20","DS4","E10",22749,2e-13,1.25622618587443
"2012-03-20","DS4","E11",20057,0,1.10757082113866
"2012-03-20","DS4","F03",13076,2e-06,0.722071897951295
"2012-03-20","DS4","F04",14693,2e-07,0.811364514882103
"2012-03-20","DS4","F05",28413,2e-08,1.56899884035562
"2012-03-20","DS4","F06",23500,2e-09,1.29769727759678
"2012-03-20","DS4","F07",24993,2e-10,1.38014247059473
"2012-03-20","DS4","F08",24793,2e-11,1.36909823844497
"2012-03-20","DS4","F09",22362,2e-12,1.23485559666464
"2012-03-20","DS4","F10",23268,2e-13,1.28488596830305
"2012-03-20","DS4","F11",18139,0,1.00165663482246
"2012-03-20","DS4","G03",10725,2e-06,0.592246949030869
"2012-03-20","DS4","G04",13840,2e-07,0.764260864763377
"2012-03-20","DS4","G05",23532,2e-08,1.29946435474074
"2012-03-20","DS4","G06",21930,2e-09,1.21100005522116
"2012-03-20","DS4","G07",23130,2e-10,1.27726544811972
"2012-03-20","DS4","G08",22570,2e-11,1.24634159810039
"2012-03-20","DS4","G09",21444,2e-12,1.18416257109724
"2012-03-20","DS4","G10",21812,2e-13,1.2044839582528
"2012-03-20","DS4","G11",16125,0,0.890441217074383
"2012-03-20","DS4","H03",7600,2e-06,0.419680821690872
"2012-03-20","DS4","H04",7025,2e-07,0.387928654260313
"2012-03-20","DS4","H05",15515,2e-08,0.856756309017616
"2012-03-20","DS4","H06",15416,2e-09,0.851289414103484
"2012-03-20","DS4","H07",17778,2e-10,0.981721795792148
"2012-03-20","DS4","H08",15800,2e-11,0.872494339831023
"2012-03-20","DS4","H09",17568,2e-12,0.9701253520349
"2012-03-20","DS4","H10",17020,2e-13,0.939864155944558
"2012-03-20","DS4","H11",18115,0,1.00033132696449
"2012-03-20","DS5","A03",7803,2e-06,0.362921792516453
"2012-03-20","DS5","A04",8839,2e-07,0.411106718448408
"2012-03-20","DS5","A05",20193,2e-08,0.939187460756727
"2012-03-20","DS5","A06",19330,2e-09,0.899048859328853
"2012-03-20","DS5","A07",19176,2e-10,0.891886235203832
"2012-03-20","DS5","A08",17989,2e-11,0.836678216785656
"2012-03-20","DS5","A09",19805,2e-12,0.921141368805377
"2012-03-20","DS5","A10",19837,2e-13,0.9226297062859
"2012-03-20","DS5","A11",17782,0,0.827050533708518
"2012-03-20","DS5","B03",8910,2e-06,0.41440896723332
"2012-03-20","DS5","B04",10698,2e-07,0.497569823957582
"2012-03-20","DS5","B05",25324,2e-08,1.17783307364945
"2012-03-20","DS5","B06",23360,2e-09,1.08648636078231
"2012-03-20","DS5","B07",20707,2e-10,0.963093881537639
"2012-03-20","DS5","B08",20427,2e-11,0.950070928583056
"2012-03-20","DS5","B09",20529,2e-12,0.954815004302226
"2012-03-20","DS5","B10",20716,2e-13,0.963512476454036
"2012-03-20","DS5","B11",20860,0,0.970209995116393
"2012-03-20","DS5","C03",10226,2e-06,0.475616846119858
"2012-03-20","DS5","C04",11299,2e-07,0.525522662263668
"2012-03-20","DS5","C05",27922,2e-08,1.29866747284947
"2012-03-20","DS5","C06",24956,2e-09,1.16071719262343
"2012-03-20","DS5","C07",23936,2e-10,1.11327643543173
"2012-03-20","DS5","C08",25257,2e-11,1.1747168670496
"2012-03-20","DS5","C09",22152,2e-12,1.03030162089254
"2012-03-20","DS5","C10",23107,2e-13,1.07471919257692
"2012-03-20","DS5","C11",23104,0,1.07457966093812
"2012-03-20","DS5","D03",8918,2e-06,0.414781051603451
"2012-03-20","DS5","D04",10968,2e-07,0.510127671449501
"2012-03-20","DS5","D05",25969,2e-08,1.20783237599126
"2012-03-20","DS5","D06",24155,2e-09,1.12346224506407
"2012-03-20","DS5","D07",23546,2e-10,1.09513732238785
"2012-03-20","DS5","D08",24528,2e-11,1.14081067882142
"2012-03-20","DS5","D09",21642,2e-12,1.00658124229669
"2012-03-20","DS5","D10",22608,2e-13,1.05151042999
"2012-03-20","DS5","D11",24256,0,1.12815981023697
"2012-03-20","DS6","E03",6918,2e-06,0.469040798684679
"2012-03-20","DS6","E04",7661,2e-07,0.519416241503805
"2012-03-20","DS6","E05",17996,2e-08,1.22012983711036
"2012-03-20","DS6","E06",17683,2e-09,1.19890841907216
"2012-03-20","DS6","E07",19274,2e-10,1.30677831076156
"2012-03-20","DS6","E08",15290,2e-11,1.03666288116345
"2012-03-20","DS6","E09",16250,2e-12,1.1017509364883
"2012-03-20","DS6","E10",16014,2e-13,1.0857501228876
"2012-03-20","DS6","E11",16114,0,1.09253012865061
"2012-03-20","DS6","F03",6343,2e-06,0.430055765547401
"2012-03-20","DS6","F04",6745,2e-07,0.45731138871468
"2012-03-20","DS6","F05",14034,2e-08,0.951506008780107
"2012-03-20","DS6","F06",17548,2e-09,1.1897554112921
"2012-03-20","DS6","F07",16793,2e-10,1.13856636778141
"2012-03-20","DS6","F08",16951,2e-11,1.14927877688696
"2012-03-20","DS6","F09",16072,2e-12,1.08968252623015
"2012-03-20","DS6","F10",16227,2e-13,1.1001915351628
"2012-03-20","DS6","F11",15371,0,1.04215468583148
"2012-03-20","DS6","G03",6288,2e-06,0.426326762377748
"2012-03-20","DS6","G04",6241,2e-07,0.423140159669136
"2012-03-20","DS6","G05",11574,2e-08,0.784717867010187
"2012-03-20","DS6","G06",14526,2e-09,0.984863637134092
"2012-03-20","DS6","G07",13572,2e-10,0.920182382155025
"2012-03-20","DS6","G08",14397,2e-11,0.976117429699815
"2012-03-20","DS6","G09",14512,2e-12,0.983914436327271
"2012-03-20","DS6","G10",14474,2e-13,0.981338034137329
"2012-03-20","DS6","G11",14052,0,0.952726409817448
"2012-03-20","DS6","H03",5822,2e-06,0.394731935522145
"2012-03-20","DS6","H04",5842,2e-07,0.396087936674746
"2012-03-20","DS6","H05",9455,2e-08,0.641049544892113
"2012-03-20","DS6","H06",11776,2e-09,0.798413478651457
"2012-03-20","DS6","H07",11669,2e-10,0.791158872485042
"2012-03-20","DS6","H08",12257,2e-11,0.83102530637151
"2012-03-20","DS6","H09",13848,2e-12,0.938895198060918
"2012-03-20","DS6","H10",12444,2e-13,0.84370391714833
"2012-03-20","DS6","H11",13460,0,0.912588775700459
"2012-03-20","DS7","A03",10153,2e-06,0.335240170707346
"2012-03-20","DS7","A04",11019,2e-07,0.363834476610287
"2012-03-20","DS7","A05",18567,2e-08,0.613060597805899
"2012-03-20","DS7","A06",25745,2e-09,0.850069752276235
"2012-03-20","DS7","A07",25552,2e-10,0.8436971182817
"2012-03-20","DS7","A08",26828,2e-11,0.885829144069406
"2012-03-20","DS7","A09",26449,2e-12,0.873315007883245
"2012-03-20","DS7","A10",27744,2e-13,0.916074391421708
"2012-03-20","DS7","A11",26255,0,0.866909355059723
"2012-03-20","DS7","B03",11077,2e-06,0.365749568691546
"2012-03-20","DS7","B04",12289,2e-07,0.405768389424069
"2012-03-20","DS7","B05",23932,2e-08,0.790206615322388
"2012-03-20","DS7","B06",29638,2e-09,0.978612053523522
"2012-03-20","DS7","B07",28538,2e-10,0.942291341637569
"2012-03-20","DS7","B08",29448,2e-11,0.972338476015948
"2012-03-20","DS7","B09",30887,2e-12,1.01985257092857
"2012-03-20","DS7","B10",28287,2e-13,0.934003615561774
"2012-03-20","DS7","B11",31606,0,1.04359310897039
"2012-03-20","DS7","C03",12652,2e-06,0.417754224346434
"2012-03-20","DS7","C04",13324,2e-07,0.439942877425852
"2012-03-20","DS7","C05",25454,2e-08,0.840461273040952
"2012-03-20","DS7","C06",33749,2e-09,1.11435245949002
"2012-03-20","DS7","C07",32681,2e-10,1.07908835013166
"2012-03-20","DS7","C08",32390,2e-11,1.06947987089638
